id_partido,fecha,equipo_local,equipo_visitante,local_pct_anota_1inn_local,local_pct_anota_1inn_ult15,visit_pct_anota_1inn_visit,visit_pct_anota_1inn_ult15,pitcher_local_pct_permite_carrera_suavizado,pitcher_visit_pct_permite_carrera_suavizado,game_yrfi_target,home_yrfi_target,away_yrfi_target
778389,2025-04-09,Pittsburgh Pirates,St. Louis Cardinals,0.2,0.1667,0.2,0.3636,0.2741,0.3329,0,0,0
778390,2025-04-09,New York Mets,Miami Marlins,0.4,0.2727,0.5,0.3636,0.2725,0.2725,0,0,0
778387,2025-04-09,Detroit Tigers,New York Yankees,0.4,0.4545,0.2,0.4545,0.2709,0.2709,0,0,0
778385,2025-04-09,Chicago Cubs,Texas Rangers,0.2857,0.2857,0.2,0.25,0.2544,0.2693,1,0,1
778381,2025-04-09,Athletics,San Diego Padres,0.4,0.3333,0.6,0.5,0.3291,0.3291,0,0,0
778380,2025-04-09,Arizona Diamondbacks,Baltimore Orioles,0.3333,0.4167,0.5556,0.5833,0.3276,0.3864,1,1,0
778376,2025-04-09,San Francisco Giants,Cincinnati Reds,0.2,0.1818,0.1667,0.25,0.3286,0.2697,0,0,0
778392,2025-04-09,Washington Nationals,Los Angeles Dodgers,0.5,0.3636,0.1429,0.2308,0.327,0.304,1,1,1
778383,2025-04-09,Seattle Mariners,Houston Astros,0.0,0.1667,0.4,0.1818,0.3512,0.3305,0,0,0
778391,2025-04-09,Cleveland Guardians,Chicago White Sox,0.0,0.4,0.5,0.4,0.287,0.329,1,1,1
778386,2025-04-09,Boston Red Sox,Toronto Blue Jays,0.4,0.25,0.0,0.25,0.3324,0.3324,1,1,1
778399,2025-04-09,Tampa Bay Rays,Los Angeles Angels,0.2857,0.2,0.2857,0.4,0.277,0.277,1,1,0
778393,2025-04-09,Atlanta Braves,Philadelphia Phillies,0.0,0.2,0.25,0.3,0.3577,0.2952,0,0,0
778388,2025-04-09,Kansas City Royals,Minnesota Twins,0.375,0.3636,0.25,0.3636,0.2763,0.3352,0,0,0
778379,2025-04-10,Colorado Rockies,Milwaukee Brewers,0.5,0.2,0.25,0.1818,0.2748,0.292,0,0,0
778382,2025-04-10,Tampa Bay Rays,Los Angeles Angels,0.375,0.2727,0.25,0.3636,0.2733,0.3322,1,0,1
778378,2025-04-10,Cleveland Guardians,Chicago White Sox,0.5,0.4545,0.6,0.4545,0.3331,0.3331,1,1,1
778373,2025-04-10,Kansas City Royals,Minnesota Twins,0.3333,0.3333,0.2222,0.3333,0.2775,0.3363,1,1,0
778371,2025-04-10,Colorado Rockies,Milwaukee Brewers,0.4,0.1818,0.2,0.1667,0.396,0.3155,1,1,0
778377,2025-04-10,Boston Red Sox,Toronto Blue Jays,0.5,0.3077,0.1667,0.3077,0.3381,0.3381,0,0,0
778384,2025-04-10,Atlanta Braves,Philadelphia Phillies,0.0,0.1818,0.2,0.2727,0.2778,0.2778,1,1,0
778375,2025-04-11,Cleveland Guardians,Kansas City Royals,0.6667,0.5,0.3333,0.3846,0.3375,0.2786,0,0,0
778374,2025-04-11,Cincinnati Reds,Pittsburgh Pirates,0.3333,0.2308,0.1429,0.1538,0.2772,0.2772,1,1,0
778367,2025-04-11,Tampa Bay Rays,Atlanta Braves,0.3333,0.25,0.2857,0.25,0.3369,0.2954,1,0,1
778369,2025-04-11,Miami Marlins,Washington Nationals,0.2857,0.3333,0.0,0.4167,0.3161,0.2789,0,0,0
778366,2025-04-11,Chicago White Sox,Boston Red Sox,0.3333,0.5,0.1429,0.2857,0.3951,0.3363,0,0,0
778368,2025-04-12,Houston Astros,Los Angeles Angels,0.0,0.1667,0.3333,0.4167,0.3348,0.3937,0,0,0
778363,2025-04-12,Minnesota Twins,Detroit Tigers,0.6667,0.3077,0.5,0.4167,0.3112,0.3923,0,0,0
778365,2025-04-12,St. Louis Cardinals,Philadelphia Phillies,0.5,0.3333,0.1667,0.25,0.332,0.2732,0,0,0
778361,2025-04-12,San Diego Padres,Colorado Rockies,0.4286,0.4615,0.0,0.25,0.2718,0.2718,0,0,0
778360,2025-04-12,Seattle Mariners,Texas Rangers,0.0,0.1538,0.3333,0.3077,0.2705,0.2705,1,1,0
778364,2025-04-12,Arizona Diamondbacks,Milwaukee Brewers,0.4286,0.4615,0.1667,0.1538,0.3301,0.3075,0,0,0
778358,2025-04-12,Athletics,New York Mets,0.3333,0.3077,0.1667,0.25,0.27,0.27,0,0,0
778356,2025-04-12,Los Angeles Dodgers,Chicago Cubs,0.3333,0.2857,0.2857,0.2667,0.3093,0.2686,0,0,0
778348,2025-04-12,Minnesota Twins,Detroit Tigers,0.5,0.2857,0.4286,0.3846,0.385,0.3261,1,0,1
778347,2025-04-12,St. Louis Cardinals,Philadelphia Phillies,0.4286,0.3077,0.1429,0.2308,0.327,0.327,1,0,1
778355,2025-04-12,New York Yankees,San Francisco Giants,0.6667,0.4167,0.1667,0.1667,0.269,0.3278,1,1,0
778346,2025-04-12,Athletics,New York Mets,0.2857,0.2857,0.1429,0.2308,0.3058,0.3287,0,0,0
778362,2025-04-12,Baltimore Orioles,Toronto Blue Jays,0.6667,0.5385,0.1429,0.2857,0.3274,0.2685,1,0,1
778353,2025-04-12,Tampa Bay Rays,Atlanta Braves,0.3,0.2308,0.375,0.3077,0.2694,0.387,1,1,0
778349,2025-04-12,Chicago White Sox,Boston Red Sox,0.2857,0.4615,0.125,0.2667,0.2702,0.2702,0,0,0
778354,2025-04-12,Miami Marlins,Washington Nationals,0.25,0.3077,0.0,0.3846,0.2689,0.3277,0,0,0
778359,2025-04-12,Cleveland Guardians,Kansas City Royals,0.5,0.4615,0.25,0.3571,0.2676,0.2676,0,0,0
778357,2025-04-12,Cincinnati Reds,Pittsburgh Pirates,0.4286,0.2857,0.125,0.1429,0.3019,0.3252,0,0,0
778351,2025-04-12,Houston Astros,Los Angeles Angels,0.0,0.1538,0.3,0.3846,0.3005,0.3828,1,0,1
778350,2025-04-13,Arizona Diamondbacks,Milwaukee Brewers,0.375,0.4286,0.1429,0.1429,0.3248,0.2659,0,0,0
778352,2025-04-13,San Diego Padres,Colorado Rockies,0.375,0.4286,0.0,0.2308,0.3824,0.3438,1,1,0
778345,2025-04-13,Los Angeles Dodgers,Chicago Cubs,0.2857,0.2667,0.25,0.2667,0.3619,0.3243,0,0,0
778341,2025-04-13,Seattle Mariners,Texas Rangers,0.0909,0.2143,0.2857,0.2857,0.2643,0.3231,1,0,1
778344,2025-04-13,Baltimore Orioles,Toronto Blue Jays,0.5,0.5,0.25,0.3333,0.3239,0.3059,1,1,0
778339,2025-04-13,New York Yankees,San Francisco Giants,0.7143,0.4615,0.1429,0.1538,0.3067,0.3067,1,1,0
778342,2025-04-13,Cleveland Guardians,Kansas City Royals,0.4,0.4286,0.2,0.3333,0.2519,0.3074,0,0,0
778343,2025-04-13,Cincinnati Reds,Pittsburgh Pirates,0.375,0.2667,0.1111,0.1333,0.2508,0.2655,0,0,0
778340,2025-04-13,Tampa Bay Rays,Atlanta Braves,0.3636,0.2857,0.3333,0.2857,0.2995,0.3607,1,1,0
778337,2025-04-13,Miami Marlins,Washington Nationals,0.2222,0.2857,0.0,0.3571,0.2651,0.3059,0,0,0
778329,2025-04-13,Houston Astros,Los Angeles Angels,0.0,0.1429,0.3636,0.4286,0.2639,0.2639,1,0,1
778335,2025-04-13,Minnesota Twins,Detroit Tigers,0.4,0.2667,0.5,0.4286,0.3235,0.2647,1,1,0
778338,2025-04-13,Chicago White Sox,Boston Red Sox,0.25,0.4286,0.1111,0.2667,0.2655,0.2507,0,0,0
778336,2025-04-13,St. Louis Cardinals,Philadelphia Phillies,0.375,0.2857,0.25,0.2857,0.3231,0.2496,0,0,0
778333,2025-04-13,Athletics,New York Mets,0.25,0.2667,0.125,0.2143,0.3596,0.322,0,0,0
778330,2025-04-13,San Diego Padres,Colorado Rockies,0.4444,0.4667,0.0,0.2143,0.303,0.2475,1,1,0
778334,2025-04-13,Seattle Mariners,Texas Rangers,0.0833,0.2,0.375,0.3333,0.3037,0.2482,1,1,0
778332,2025-04-13,Arizona Diamondbacks,Milwaukee Brewers,0.3333,0.4,0.125,0.1333,0.3045,0.3045,1,0,1
778331,2025-04-13,Los Angeles Dodgers,Chicago Cubs,0.25,0.2667,0.2222,0.2667,0.2643,0.2996,0,0,0
778321,2025-04-14,Pittsburgh Pirates,Washington Nationals,0.1667,0.1333,0.0,0.3333,0.2486,0.2796,1,1,0
778320,2025-04-14,Philadelphia Phillies,San Francisco Giants,0.3333,0.2667,0.125,0.1429,0.264,0.264,1,1,0
778328,2025-04-14,Tampa Bay Rays,Boston Red Sox,0.4167,0.3333,0.1,0.2667,0.2647,0.3611,1,1,0
778327,2025-04-14,New York Yankees,Kansas City Royals,0.75,0.5,0.1667,0.3333,0.2655,0.2507,0,0,0
778322,2025-04-14,Toronto Blue Jays,Atlanta Braves,0.4286,0.3333,0.3,0.2667,0.2643,0.3232,1,0,1
778324,2025-04-14,Minnesota Twins,New York Mets,0.5,0.3333,0.1111,0.2,0.3059,0.3059,0,0,0
778323,2025-04-14,Milwaukee Brewers,Detroit Tigers,0.1429,0.2,0.4444,0.4,0.264,0.2493,1,0,1
