fecha,id_partido,equipo_local,equipo_visitante,prob_yrfi_predicha,prob_local_anota,prob_visitante_anota,game_yrfi_real,home_yrfi_target,away_yrfi_target,prediction,prediccion_local,prediccion_visitante
2025-05-14,777930,137,109,0.75273114,0.5213407,0.48341364,1,0,1,1,0,0
2025-05-14,777937,119,133,0.87215924,0.6677831,0.61518896,0,0,0,1,1,1
2025-05-14,777924,110,142,0.40660644,0.35108945,0.08555409,0,0,0,0,0,0
2025-05-14,777922,143,138,0.5615605,0.29730433,0.3760606,0,0,0,1,0,0
2025-05-14,777928,113,145,0.6181771,0.3247146,0.43457553,0,0,0,1,0,0
2025-05-14,777925,114,158,0.6089283,0.46085772,0.27464104,0,0,0,1,0,0
2025-05-14,777915,136,147,0.505894,0.35838223,0.22990601,0,0,0,0,0,0
2025-05-14,777927,116,111,0.69557506,0.54656106,0.32863083,1,0,1,1,0,0
2025-05-14,777923,141,139,0.6534568,0.5487927,0.23196457,0,0,0,1,0,0
2025-05-14,777919,121,134,0.8639401,0.6827327,0.5711506,0,0,0,1,1,1
2025-05-14,777921,112,146,0.8527187,0.766763,0.368534,0,0,0,1,1,0
2025-05-14,777929,144,120,0.8270444,0.62135243,0.54322803,1,0,1,1,1,0
2025-05-14,777916,137,109,0.29443043,0.16489796,0.1551097,1,0,1,0,0,0
2025-05-14,777932,135,108,0.7528826,0.5979719,0.38532308,1,0,1,1,1,0
2025-05-15,777917,119,133,0.5655564,0.3778512,0.30170462,1,1,0,1,0,0
2025-05-15,777918,140,115,0.7546585,0.36032468,0.61645937,1,1,0,1,0,1
2025-05-15,777914,135,108,0.718701,0.34464067,0.5707714,1,1,0,1,0,1
2025-05-15,777920,117,118,0.59236276,0.22853227,0.4716082,0,0,0,1,0,0
2025-05-15,777912,113,145,0.3689378,0.2550597,0.15286875,1,1,0,0,0,0
2025-05-15,777911,110,142,0.72898436,0.55845284,0.38621354,0,0,0,1,1,0
2025-05-15,777913,141,139,0.55783725,0.12985831,0.49184966,1,0,1,1,0,0
2025-05-15,777909,144,120,0.77152604,0.3620053,0.64188737,0,0,0,1,0,1
2025-05-16,777902,113,114,0.5132123,0.3210502,0.28302854,0,0,0,0,0,0
2025-05-16,777910,140,117,0.89531773,0.7491252,0.5827311,0,0,0,1,1,1
2025-05-16,777946,119,133,0.93679667,0.789501,0.69974506,1,1,1,1,1,1
2025-05-16,777900,112,145,0.79922736,0.2965553,0.7145865,1,0,1,1,0,1
2025-05-16,777907,110,120,0.81328917,0.37745172,0.7000862,0,0,0,1,0,1
2025-05-16,777901,118,138,0.5466355,0.12878533,0.47961795,0,0,0,0,0,0
2025-05-16,777906,141,116,0.6206567,0.33707583,0.42777282,0,0,0,1,0,0
